file_index,class
76395310,0
78235074,0
74477562,0
70540972,0
73988993,0
75194157,0
77711298,0
72575023,0
75921968,0
79830636,0
75057435,0
74322818,0
77843279,0
79153985,0
78942502,0
76491078,0
79628359,0
74322871,0
77140958,0
78904313,0
72365117,0
72479806,0
75356752,0
70154255,0
70738350,0
74407545,0
78474944,0
72068047,0
70566487,0
76416782,0
72463098,0
76771211,0
79289463,0
72473767,0
75208055,0
76718315,0
74776907,0
73997574,0
78938944,0
71578892,0
77077451,0
71761856,0
74564352,0
75568867,0
71197521,0
71989080,0
78823855,0
77487875,0
78183770,0
75720317,0
73076311,0
76322552,0
70669838,0
77556004,0
71416017,0
76782111,0
74402016,0
79859470,0
78767056,0
70763572,0
79797333,0
74501280,0
77945397,0
75035261,0
73758336,0
73993408,0
74348172,0
72722867,0
71209861,0
74772638,0
79615607,0
74196325,0
78434663,0
75156930,0
71536823,0
71720388,0
78758228,0
78798094,0
77676782,0
73931280,0
73331324,0
70176328,0
70976033,0
76339529,0
73745077,0
77772586,0
73088955,0
77705904,0
70076792,0
75724651,0
71339053,0
75560937,0
77385728,0
77788753,0
70620269,0
79846760,0
75407878,0
70536008,0
77652840,0
75478222,0
70123042,0
74009476,0
77522005,0
79353203,0
73245977,0
76786263,0
76844346,0
70232167,0
76903258,0
74749440,0
72121893,0
77400657,0
75120041,0
75432562,0
78455539,0
74376828,0
70657345,0
75209849,0
78495127,0
74954567,0
75492160,0
74749715,0
74978001,0
79464179,0
75029067,0
75076669,0
75247488,0
78602553,0
76087276,0
76954750,0
70103118,0
70288660,0
73839336,0
73029556,0
73037378,0
76173806,0
73257252,0
79728095,0
76772898,0
73983475,0
70172546,0
78343890,0
72803262,0
78069082,0
74587586,0
79793732,0
71073228,0
76527606,0
75119409,0
71619498,0
77253714,0
74526152,0
79991111,0
76816875,0
75850706,0
71779291,0
79551747,0
74933910,0
79744126,0
70288812,0
74818070,0
72906468,0
73353885,0
75956242,0
73906461,0
79784372,0
78092861,0
73728389,0
73884753,0
76068221,0
71838662,0
74585665,0
71355046,0
74179605,0
75628370,0
79204262,0
78469627,0
79573899,0
77323428,0
70913297,0
70643128,0
79424388,0
72441097,0
77091326,0
78125526,0
78927595,0
75593133,0
77226691,0
74100298,0
71260080,0
79059036,0
75296034,0
77066959,0
71461599,0
79942970,0
78431945,0
74680456,0
78672316,0
72922405,0
